id,name,spouse,child,gender,father,mother,born,died,birth_place,place_of_death,position_held,instance_of,occupation,description,enwiki,url
Q40574,Lot,Q2575060,Q1585141,male,Q1199156,,,,,,,biblical character,,,Lot (biblical person),https://www.wikidata.org/wiki/Q40574
Q1752707,Milcah,,Q1579827,female,Q1199156,,,,,,,human,,,Milcah,https://www.wikidata.org/wiki/Q1752707
Q1449132,Iscah,,,female,Q1199156,,,,,,,biblical character,,,Iscah,https://www.wikidata.org/wiki/Q1449132
Q1579827,Bethuel,,"[u'Q840401', u'Q40520']",male,Q6323112,Q1752707,,,,,,biblical character,,,Bethuel,https://www.wikidata.org/wiki/Q1579827
Q1642480,Islamic view of Isaac,,,male,Q1768161,Q194808,,,,,,human,preacher,,Isaac in Islam,https://www.wikidata.org/wiki/Q1642480
Q3773487,Nebaioth,,,male,Q183403,,,,,,,human,,,Nebaioth,https://www.wikidata.org/wiki/Q3773487
Q2669401,Mahalath,Q220822,,female,Q183403,,,,,,,human,,,Mahalath,https://www.wikidata.org/wiki/Q2669401
Q3320047,Basemath,Q220822,,female,Q183403,,,,,,,biblical character,,,Basemath,https://www.wikidata.org/wiki/Q3320047
Q5313606,Dumah,,,male,Q183403,,,,,,,human,,,Dumah (son of Ishmael),https://www.wikidata.org/wiki/Q5313606
Q6398999,Mahalath,Q220822,,female,Q183403,,,,,,,human,,,Mahalath,https://www.wikidata.org/wiki/Q6398999
Q289957,Jacob,"[u'Q128847', u'Q207389']","[u'Q625661', u'Q1773005', u'Q215512', u'Q282220', u'Q651256', u'Q614575', u'Q122035', u'Q145746', u'Q460763', u'Q1775026', u'Q1771963', u'Q851749', u'Q550869']",male,Q671872,Q40520,,,,,,biblical character,,,Jacob,https://www.wikidata.org/wiki/Q289957
Q220822,Esau,"[u'Q3320047', u'Q2669401']",Q2899130,male,Q671872,Q40520,,,,,,human,,,Esau,https://www.wikidata.org/wiki/Q220822
Q2575060,Lot's wife,Q40574,,female,,,,,,,,human,,,Lot's wife,https://www.wikidata.org/wiki/Q2575060
Q1585141,Moab,,,male,Q40574,,,,,,,human,,,,https://www.wikidata.org/wiki/Q1585141
Q840401,Laban,,"[u'Q128847', u'Q207389']",male,Q1579827,,,,,,,human,,,Laban (Bible),https://www.wikidata.org/wiki/Q840401
Q40520,Rebecca,,"[u'Q289957', u'Q220822']",female,Q1579827,,,,,,,human,,,Rebecca,https://www.wikidata.org/wiki/Q40520
Q1768161,Islamic views on Abraham,,"[u'Q470988', u'Q1642480']",male,,,,,Ur,Hebron,,human,,,Abraham in Islam,https://www.wikidata.org/wiki/Q1768161
Q128847,Leah,Q289957,"[u'Q625661', u'Q1773005', u'Q215512', u'Q282220', u'Q651256', u'Q614575', u'Q122035']",female,Q840401,,,,,,,human,,,Leah,https://www.wikidata.org/wiki/Q128847
Q207389,Rachel,Q289957,"[u'Q145746', u'Q460763']",female,Q840401,,,,,,,human,,,Rachel,https://www.wikidata.org/wiki/Q207389
Q625661,Reuben,,,male,Q289957,Q128847,,,,,,biblical character,,,Reuben (Bible),https://www.wikidata.org/wiki/Q625661
Q1773005,Simeon,,,male,Q289957,Q128847,,,,,,human,,,Simeon (Hebrew Bible),https://www.wikidata.org/wiki/Q1773005
Q215512,Levi,,"[u'Q2915121', u'Q2914557', u'Q2670550', u'Q594805']",male,Q289957,Q128847,,,,,,human,,,Levi,https://www.wikidata.org/wiki/Q215512
Q282220,Judah,,Q1814684,male,Q289957,Q128847,,,,,,human,,,Judah (biblical person),https://www.wikidata.org/wiki/Q282220
Q651256,Issachar,,,male,Q289957,Q128847,,,,,,human,,,Issachar,https://www.wikidata.org/wiki/Q651256
Q614575,Zebulun,,,male,Q289957,Q128847,,,,,,human,,,Zebulun,https://www.wikidata.org/wiki/Q614575
Q122035,Dinah,,,female,Q289957,Q128847,,,,,,human,,,Dinah,https://www.wikidata.org/wiki/Q122035
Q145746,Joseph,Q723681,"[u'Q1056931', u'Q203251']",male,Q289957,Q207389,,,,,,human,,,Joseph (patriarch),https://www.wikidata.org/wiki/Q145746
Q460763,Benjamin,,,male,Q289957,Q207389,,,,,,human,,,Benjamin,https://www.wikidata.org/wiki/Q460763
Q1775026,Asher,,Q2899037,male,Q289957,Q221826,,,,,,biblical character,,,Asher,https://www.wikidata.org/wiki/Q1775026
Q1771963,Naphtali,,,male,Q289957,Q794991,,,,,,human,,,Naphtali,https://www.wikidata.org/wiki/Q1771963
Q851749,Gad,,,male,Q289957,Q221826,,,,,,human,,,Gad (son of Jacob),https://www.wikidata.org/wiki/Q851749
Q550869,Dan,,,male,Q289957,Q794991,,,,,,human,,,Dan (Bible),https://www.wikidata.org/wiki/Q550869
